                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.92225,                 0.5084,                0.87454,                0.82611,                0.64477,                0.72166,                 0.4303,                 1.1723,                0.62454,                0.93589,              0.0092308,              0.0092308,              0.0092308
                    118,                0.91366,                0.50798,                0.87505,                0.83585,                0.63478,                 0.7156,                0.43401,                 1.1629,                0.62061,                0.93408,              0.0092242,              0.0092242,              0.0092242
                    119,                 0.9237,                0.51057,                0.87653,                0.81371,                0.65476,                 0.7184,                0.43022,                 1.1682,                0.62676,                0.93521,              0.0092175,              0.0092175,              0.0092175
                    120,                0.91696,                0.50606,                0.87507,                0.78616,                0.66787,                0.71315,                0.42669,                 1.1594,                0.62789,                 0.9339,              0.0092109,              0.0092109,              0.0092109
                    121,                0.90999,                0.50227,                0.87273,                0.82289,                0.65016,                0.71592,                0.42927,                 1.1575,                0.62909,                0.93283,              0.0092043,              0.0092043,              0.0092043
                    122,                0.91629,                0.50615,                0.87373,                0.85156,                0.63169,                0.71075,                0.42616,                 1.1621,                0.62635,                0.92618,              0.0091977,              0.0091977,              0.0091977
                    123,                0.91673,                0.50817,                0.87427,                0.83676,                0.63678,                 0.7065,                0.42753,                 1.1569,                0.62763,                0.92857,              0.0091916,              0.0091916,              0.0091916
                    124,                0.91152,                 0.5039,                0.87337,                0.82496,                0.65144,                0.72093,                0.43287,                 1.1614,                 0.6254,                0.92871,              0.0091849,              0.0091849,              0.0091849
                    125,                0.91187,                0.50216,                0.87489,                0.83241,                0.64923,                0.72459,                0.43191,                 1.1649,                0.62914,                0.93423,              0.0091783,              0.0091783,              0.0091783
                    126,                0.90746,                0.50048,                 0.8718,                0.80265,                0.66341,                0.72731,                 0.4302,                 1.1653,                0.63275,                0.93355,              0.0091717,              0.0091717,              0.0091717
                    127,                0.91159,                0.50432,                 0.8733,                0.81652,                0.65526,                0.72446,                0.43472,                 1.1609,                0.62988,                0.93158,              0.0091651,              0.0091651,              0.0091651
                    128,                0.90857,                0.50157,                0.87306,                0.83953,                0.64608,                0.71411,                0.42842,                 1.1564,                 0.6253,                0.93304,              0.0091584,              0.0091584,              0.0091584
                    129,                0.90125,                0.49846,                 0.8714,                0.81321,                0.64584,                0.71241,                0.42497,                 1.1588,                0.63336,                0.93409,              0.0091518,              0.0091518,              0.0091518
                    130,                0.90119,                0.50025,                0.87075,                 0.8274,                0.64189,                0.71097,                0.42371,                 1.1572,                0.62391,                0.93146,              0.0091452,              0.0091452,              0.0091452
                    131,                0.90449,                0.49863,                 0.8717,                0.79451,                0.66833,                0.72043,                0.42757,                 1.1573,                  0.626,                0.93002,              0.0091386,              0.0091386,              0.0091386
                    132,                0.91141,                0.50139,                0.87372,                0.83081,                0.64609,                0.71995,                0.43241,                 1.1655,                0.62258,                0.93325,              0.0091325,              0.0091325,              0.0091325
                    133,                0.90475,                0.50166,                0.87236,                0.83879,                0.64656,                0.72164,                0.42896,                 1.1634,                0.62161,                0.93309,              0.0091259,              0.0091259,              0.0091259
